No.,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
1567,ファミリーマート大曲田町店,014-0046,大仙市,大曲田町５－２３,,0187-66-3121,4.コンビニ・スーパー,
1568,ikkaイオンモール大曲店,014-0033,大仙市,和合字坪立177,イオンモール大曲１Ｆ,0187-66-3960,21.その他,衣料品店
1569,ファミリーマート　大仙若竹町店,014-0016,大仙市,若竹町33-4,,0187-66-8070,4.コンビニ・スーパー,
1570,ファミリーマート大仙協和店,019-2431,大仙市,協和峰吉川字西窪27,,018-881-9310,4.コンビニ・スーパー,
1571,ファミリーマート大曲白金店,014-0015,大仙市,大曲白金町9-22,,0187-66-3266,4.コンビニ・スーパー,
1572,ファミリーマート大曲金谷町店,014-0054,大仙市,大曲金谷町12-19,,0187-66-8453,4.コンビニ・スーパー,
1573,合同会社ダイセン創農,014-0207,大仙市,長野字高畑95-1,,0187-49-8250,3.小売（お土産等）,
1574,T'S COLLECTION 大曲店,014-0033,大仙市,和合字坪立177,,0187-73-5180,21.その他,衣料品店
1575,レプシィム　イオンモール大曲店,014-0033,大仙市,和合字坪立177,,0187-66-3618,21.その他,衣料品店
1576,ジーユー　イオンモール大曲店,014-0033,大仙市,和合字坪立177,,0187-66-3578,21.その他,衣服店
1577,グローバルワーク　イオンモール大曲店,014-0033,大仙市,和合字坪立177,,0187-66-3615,21.その他,衣料品店
1578,スーパースポーツゼビオ　イオンモール大曲店,014-0033,大仙市,和合字坪立177,,0187-66-3727,21.その他,スポーツ用品店
1579,築地銀だこ（大曲）,014-0033,大仙市,和合字坪立177,,0187-66-3281,1.飲食店（酒類提供なし）,
1580,越後秘蔵麺　無尽蔵（大曲）,014-0033,大仙市,和合字坪立177,,0187-66-3629,1.飲食店（酒類提供なし）,
1581,喜久水庵（大曲）,014-0033,大仙市,和合字坪立177,,0187-66-3634,1.飲食店（酒類提供なし）,
1582,リンガーハット（大曲）,014-0033,大仙市,和合字坪立177,,0187-66-8050,1.飲食店（酒類提供なし）,
1583,四六時中　イオンモール大曲店,014-0033,大仙市,和合字坪立177,,0187-66-3576,2.飲食店（酒類提供あり）,
1584,ミスタードーナッツ（大曲）,014-0033,大仙市,和合字坪立177,,0187-62-1079,1.飲食店（酒類提供なし）,
1585,COPIN（大曲）,014-0033,大仙市,和合字坪立177,,0187-66-1171,3.小売（お土産等）,
1586,果汁工房　果琳（大曲）,014-0033,大仙市,和合字坪立177,,0187-88-8459,1.飲食店（酒類提供なし）,
1587,三平,014-0027,大仙市,大曲通町11-12,MAビル1F,0187-62-4000,2.飲食店（酒類提供あり）,
1588,岩倉温泉,019-1944,大仙市,南外字湯元1,,0187-74-2345,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1589,イオンモール大曲,014-0033,大仙市,和合字坪立177,,0187-66-3642,4.コンビニ・スーパー,
1590,ローソン大曲福住町店,014-0014,大仙市,大曲福住町8-2,,0187-86-3586,4.コンビニ・スーパー,
1591,柵の湯,014-0112,大仙市,板見内一ツ森149,,0187-69-3311,3.小売（お土産等）,
1592,中里温泉,019-1603,大仙市,太田町中里字新屋敷114,,0187-88-1471,21.その他,
1593,ローソン　大仙太田町店,019-1604,大仙市,太田町駒場字米桶田291-2,,0187-86-9174,4.コンビニ・スーパー,
1594,神宮寺観光果樹園,019-1701,大仙市,神宮寺字福島48-1,,0187-87-1266,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1595,大仙市観光情報センター　グランポール,014-0027,大仙市,大曲通町6-5,,0187-86-0888,21.その他,観光案内所
1596,Bium　Shop,014-0025,大仙市,大曲大町7-19,,0187-88-8481,3.小売（お土産等）,
1597,鶴の湯温泉,014-1204,仙北市,田沢湖田沢字先達沢国有林50林班ハ小班,,0187-46-2139,21.その他,宿泊施設
1598,角館桜皮細工センター（武家屋敷通り店）,014-0331,仙北市,角館町表町下丁18,,0187-55-5631,3.小売（お土産等）,
1599,角館桜皮細工センター,014-0318,仙北市,角館町中町25,,0187-55-1320,3.小売（お土産等）,
1600,角館人力社,014-0324,仙北市,角館町小人町34,,090-2970-2324,14.体験型アクティビティ,
1601,お食事処　長四郎,014-1201,仙北市,田沢湖卒田字柴倉378,,0187-43-0395,2.飲食店（酒類提供あり）,
1602,新玉川温泉,014-1205,仙北市,田沢湖玉川字渋黒沢2番地先,,0187-58-3000,21.その他,宿泊施設
1603,玉川温泉,014-1205,仙北市,田沢湖玉川字渋黒沢国有林3014林班ロ小班,,0187-58-3000,21.その他,宿泊施設
1604,ホテルフォルクローロ角館　売店,014-0368,仙北市,角館町中菅沢14,,0187-53-2070,3.小売（お土産等）,
1605,レストラン　さくら小町,014-0368,仙北市,角館町中菅沢14,,0187-53-2070,2.飲食店（酒類提供あり）,
1606,田沢プラトーホテル,014-1201,仙北市,田沢湖生保内字駒ヶ岳2-36,,0187-46-2331,21.その他,宿泊施設
1607,林土産店,014-1201,仙北市,田沢湖生保内字男坂128,,0187-43-0459,2.飲食店（酒類提供あり）,
1608,酒の伏見屋,014-0323,仙北市,角館町横町27,,0187-53-2278,3.小売（お土産等）,
1609,元湯　水沢山荘,014-1201,仙北市,田沢湖生保内字下高野73-10,,0187-46-2341,21.その他,宿泊施設
1610,藤木伝四郎商店,014-0315,仙北市,角館町下新町45,,0187-54-1151,3.小売（お土産等）,
1611,旬樹庵ハイランドホテル山荘,014-1201,仙北市,田沢湖生保内字駒ケ岳2-31,,0187-46-2121,21.その他,宿泊施設
1612,わらび劇場,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,18.劇場、観覧場、映画館、演劇場,
1613,田沢湖ビール,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,3.小売（お土産等）,
1614,森林工芸館,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,3.小売（お土産等）,
1615,温泉ゆぽぽ　温泉館,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,2.飲食店（酒類提供あり）,
1616,温泉ゆぽぽ　本館売店,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,3.小売（お土産等）,
1617,温泉ゆぽぽ,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,21.その他,宿泊施設
1618,お菓子のくらた　角館店,014-0341,仙北市,角館町雲然字山崎42-1,安藤醸造元北浦本館内,0187-53-3255,3.小売（お土産等）,
1619,須江,014-0331,仙北市,角館町表町下丁9,,0187-53-3532,3.小売（お土産等）,
1620,手打ちそば　さくらぎ,014-0333,仙北市,角館町川原町20-6,,0187-54-2155,2.飲食店（酒類提供あり）,
1621,ワンダーモール,014-0369,仙北市,角館町上菅沢442-1,,0187-54-1600,4.コンビニ・スーパー,
1622,グランマート田沢湖店,014-1201,仙北市,田沢湖町生保内字浮世坂26-9,,0187-43-1000,4.コンビニ・スーパー,
1623,秋田内陸線角館駅,014-0368,仙北市,角館町中菅沢14,,0187-54-3758,5.鉄道,
1624,ロッヂヨーデル,014-1201,仙北市,田沢湖生保内字下高野73-7,,0187-46-2807,21.その他,宿泊施設
1625,田沢高原ホテル,014-1201,仙北市,田沢湖生保内字駒ケ岳2,,0187-46-2311,21.その他,宿泊施設
1626,かくのだて物産館,014-0368,仙北市,角館町中菅沢14,,0187-55-4114,3.小売（お土産等）,
1627,協同組合角館町物産協会,014-0331,仙北市,角館町表町下丁10-1,,0187-54-4440,3.小売（お土産等）,
1628,まるかわ,014-0325,仙北市,角館町東勝楽丁2-5,,0187-53-2804,3.小売（お土産等）,
1629,Kakunodate guest house Choux,014-0369,仙北市,角館町上菅沢258-1,,0187-42-8421,14.体験型アクティビティ,
1630,角館歴史村　青柳家,014-0331,仙北市,角館町表町下丁3,,0187-54-3257,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1631,櫻丸珈琲,014-0332,仙北市,角館町歩行町24-1,,0187-49-7339,2.飲食店（酒類提供あり）,
1632,武家屋敷の茶屋,014-0331,仙北市,角館町表町下丁14-1,,0187-53-2703,2.飲食店（酒類提供あり）,
1633,安藤醸造　花上庵,014-0331,仙北市,角館町表町下丁8,,0187-53-2008,3.小売（お土産等）,
1634,安藤醸造　北浦本館,014-0341,仙北市,角館町雲然山崎42-1,,0187-53-2008,3.小売（お土産等）,
1635,安藤醸造　本店,014-0315,仙北市,角館町下新町27,,0187-53-2008,3.小売（お土産等）,
1636,ヒュッテ　ビルケ,014-1201,仙北市,田沢湖生保内字下高野72,,0187-46-2833,21.その他,宿泊施設
1637,十月,014-0332,仙北市,角館町歩行町22-2,,0187-55-1708,2.飲食店（酒類提供あり）,
1638,山のはちみつ屋,014-1201,仙北市,田沢湖生保内字石神163-3,,0187-43-3938,1.飲食店（酒類提供なし）,
1639,角館温泉花葉館,014-0344,仙北市,角館町西長野古米沢30-19,,0187-55-5888,21.その他,宿泊施設
1640,食事処・喫茶・おみやげ　みずうみ,014-1201,仙北市,田沢湖生保内字源左ェ門野96,,0187-43-0080,2.飲食店（酒類提供あり）,
1641,食処かくのだてさくら小路,014-0323,仙北市,角館町横町27,,0187-53-3003,2.飲食店（酒類提供あり）,
1642,お食事処　十兵衛,014-0323,仙北市,角館町横町23,,0187-55-1881,2.飲食店（酒類提供あり）,
1643,お食事処　桜の里,014-0325,仙北市,角館町東勝楽丁9,,0187-54-2527,2.飲食店（酒類提供あり）,
1644,田沢湖高原リゾートホテルニュースカイ,014-1201,仙北市,田沢湖生保内字下高野73-13,,0187-46-2006,21.その他,宿泊施設
1645,武家屋敷「石黒家」,014-0331,仙北市,角館町表町下丁１,,0187-55-1496,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1646,酒の金勇,014-1201,仙北市,田沢湖生保内字水尻8,,0187-43-0021,3.小売（お土産等）,
1647,大村美術館,014-0326,仙北市,角館町山根町39-1,,0187-55-5111,19.文化施設（美術館､博物館等）,
1648,食堂　いなほ,014-0311,仙北市,角館町田町上丁4-1,,0187-54-3311,2.飲食店（酒類提供あり）,
1649,料亭　稲穂,014-0311,仙北市,角館町田町上丁4-1,,0187-54-3311,2.飲食店（酒類提供あり）,
1650,物産館角館の四季,014-0318,仙北市,角館町中町20,,0187-55-4766,3.小売（お土産等）,
1651,お土産処　城下町物産,014-0359,仙北市,角館町北野122-7,,0187-54-3350,3.小売（お土産等）,
1652,お食事処　ふきや,014-0342,仙北市,角館町小人町28,,0187-55-1414,2.飲食店（酒類提供あり）,
1653,お土産処　美杉,014-0315,仙北市,角館町下新町40,,0187-53-3135,3.小売（お土産等）,
1654,町家館かくのだ亭,014-0323,仙北市,角館町横町42-1,,0187-49-6069,2.飲食店（酒類提供あり）,
1655,お食事処　源八,014-0321,仙北市,角館町西勝楽町105,,0187-54-2462,2.飲食店（酒類提供あり）,
1656,セブンイレブン角館小館店,014-0372,仙北市,角館町小館149-1,,0187-54-3620,4.コンビニ・スーパー,
1657,薬王堂　角館下菅沢店,014-0366,仙北市,角館町下菅沢98番地,,0187-49-6525,21.その他,薬局
1658,和食処季流,014-1201,仙北市,田沢湖生保内字男坂22-17,,0187-43-3465,2.飲食店（酒類提供あり）,
1659,角館そば,014-0316,仙北市,角館町岩瀬町17,,0187-53-2054,2.飲食店（酒類提供あり）,
1660,大釜温泉,014-1204,仙北市,田沢湖田沢字先達沢国有林50,,0187-46-2438,21.その他,宿泊施設
1661,くら吉,014-0324,仙北市,角館町小人町38-25,,0187-52-0505,3.小売（お土産等）,
1662,旬彩料理　月の栞,014-0323,仙北市,角館町横田21,,0187-53-2880,1.飲食店（酒類提供なし）,
1663,夏瀬温泉都わすれ,014-1113,仙北市,田沢湖卒田字夏瀬84,,0187-44-2220,21.その他,宿泊施設
1664,乳頭温泉郷妙乃湯,014-1201,仙北市,田沢湖生保内字駒ケ岳2-1,,0187-46-2740,21.その他,宿泊施設
1665,角館さとくガーデン,014-0325,仙北市,角館町東勝楽丁２６－１,,0187-53-2230,3.小売（お土産等）,
1666,角館山荘侘桜,014-0515,仙北市,西木町門屋字笹山2-8,,0187-47-3511,21.その他,宿泊施設
1667,山のはちみつ屋　ピザ工房,014-1201,仙北市,田沢湖生保内字石神163-3,,0187-43-3938,1.飲食店（酒類提供なし）,
1668,山のはちみつ屋　HoneyBouquet,014-1201,仙北市,田沢湖生保内字石神163-3,,0187-43-3938,3.小売（お土産等）,
1669,角館駅前蔵,014-0369,仙北市,角館町上菅沢394-2,,0187-54-2700,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1670,フォレイク,014-1201,仙北市,田沢湖生保内字男坂68,,0187-43-2111,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1671,モンマート地酒のふじた,014-0368,仙北市,角館町中菅沢94,,0187-53-2656,3.小売（お土産等）,
1672,田沢湖いち,014-1201,仙北市,田沢湖生保内水尻５９－４０,,0187-43-3511,2.飲食店（酒類提供あり）,
1673,ペンション白い星,014-1201,仙北市,田沢湖生保内字下高野７２－２５,,0187-46-2525,21.その他,宿泊施設
1674,田沢湖レストハウス,014-1204,仙北市,田沢湖田沢字春山148,,0187-43-0274,2.飲食店（酒類提供あり）,
1675,休暇村乳頭温泉郷,014-1201,仙北市,田沢湖駒ケ岳2-1,,0187-46-2244,21.その他,宿泊施設
1676,休暇村乳頭温泉郷　大浴場,014-1201,仙北市,田沢湖駒ケ岳2-1,,0187-46-2244,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1677,休暇村乳頭温泉郷　レストラン,014-1201,仙北市,田沢湖駒ケ岳2-1,,0187-46-2244,2.飲食店（酒類提供あり）,
1678,休暇村乳頭温泉郷　売店,014-1201,仙北市,田沢湖駒ケ岳2-1,,0187-46-2244,21.その他,宿泊施設
1679,休暇村乳頭温泉郷　喫茶,014-1201,仙北市,田沢湖駒ケ岳2-1,,0187-46-2244,2.飲食店（酒類提供あり）,
1680,休暇村乳頭温泉郷　フロント,014-1201,仙北市,田沢湖駒ケ岳2-1,,0187-46-2244,21.その他,宿泊施設
1681,ニッポンレンタカー 角館駅前営業所,014-0368,仙北市,角館町中菅沢９４－８５,,0187-55-1101,12.レンタカー,
1682,駅レンタカー　田沢湖営業所,014-1201,仙北市,田沢湖生保内字男坂9-2,,0187-43-1081,12.レンタカー,
1683,駅レンタカー  角館営業所,014-0368,仙北市,角館町中菅沢94-85,,0187-52-2188,12.レンタカー,
1684,秋田県立田沢湖スポーツセンター,014-1201,仙北市,田沢湖生保内字下高野73-75,,0187-46-2001,21.その他,宿泊施設
1685,居酒屋なるほど,014-0321,仙北市,角館町西勝楽町14,,0187-54-1577,2.飲食店（酒類提供あり）,
1686,後藤福進堂,014-0325,仙北市,角館町東勝楽丁12-2,,0187-53-2310,3.小売（お土産等）,
1687,ツルハドラッグ　田沢湖店,014-1201,仙北市,田沢湖生保内字街道上71-1,,0187-43-9268,21.その他,薬局
1688,オリックスレンタカー角館駅前店,014-0369,仙北市,角館町上菅沢402-9,,0187-52-3811,12.レンタカー,
1689,ツルハドラッグ　角館店,014-0369,仙北市,角館町上菅沢449-1,,0187-49-8390,21.その他,薬局
1690,大山堂,014-0332,仙北市,角館町歩行町24-8,,0187-55-1138,3.小売（お土産等）,
1691,いしばし民芸,014-0331,仙北市,角館町表町下丁7,,0187-53-3853,3.小売（お土産等）,
1692,ホテル湖心亭,014-1204,仙北市,田沢湖田沢字春山135,,0187-43-0721,21.その他,宿泊施設
1693,薬王堂　秋田角館店,014-0347,仙北市,角館町小勝田中川原132,,0187-42-8521,21.その他,薬局
1694,ホテルグランド天空,014-1201,仙北市,田沢湖生保内字駒ケ岳2-16,,0187-46-2004,21.その他,宿泊施設
1695,唐土庵　さくら並木店,014-0359,仙北市,角館町北野124-2,,0187-54-1157,3.小売（お土産等）,
1696,唐土庵　武家屋敷店,014-0331,仙北市,角館町表町下丁17,,0187-52-8170,3.小売（お土産等）,
1697,アート＆クラフト香月,014-0325,仙北市,角館町東勝楽丁2-2,,0187-54-1565,3.小売（お土産等）,
1698,よねや角館店,014-0347,仙北市,角館町小勝田中川原111-1,,0187-55-2141,4.コンビニ・スーパー,
1699,鶴の湯別館山の宿,014-1204,仙北市,田沢湖田沢字先達沢湯ノ岱1-1,,0187-46-2100,21.その他,宿泊施設
1700,駅前食堂,014-1201,仙北市,田沢湖生保内字男坂125,,0187-43-0483,2.飲食店（酒類提供あり）,
1701,アルパこまくさ,014-1201,仙北市,田沢湖生保内字駒ヶ岳2-16,,0187-46-2101,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1702,田沢湖ハーブガーデンハートハーブ,014-1204,仙北市,田沢湖字田沢字潟前78,,0187-43-2424,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1703,黒湯温泉,014-1201,仙北市,田沢湖生保内字黒湯沢2-1,,0187-46-2214,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1704,湖畔の杜レストランORAE,014-1204,仙北市,田沢湖田沢字春山37-5,,0187-58-0608,2.飲食店（酒類提供あり）,
1705,ロッジアイリス,014-1201,仙北市,田沢湖生保内字駒ヶ岳2-139,,0187-58-1101,21.その他,宿泊施設
1706,cafe＋inn That Sounds Good！,014-1204,仙北市,田沢湖田沢字潟前160-58,,0187-43-0127,2.飲食店（酒類提供あり）,
1707,トヨタレンタカー角館店,014-0375,仙北市,角館町岩瀬下タ野84-1,,0187-55-2100,12.レンタカー,
1708,トヨタレンタカー田沢湖店,014-1201,仙北市,田沢湖生保内字野中43-12,,0187-43-2100,12.レンタカー,
1709,さかい屋,014-0368,仙北市,角館町中菅沢92-81,,0187-54-2367,1.飲食店（酒類提供なし）,
1710,わいわい酒蔵　土間人,014-0317,仙北市,角館町下中町30,,0187-52-1703,2.飲食店（酒類提供あり）,
1711,プラザホテル山麓荘,014-1201,仙北市,田沢湖生保内字駒ヶ岳2-32,,0187-46-2131,21.その他,宿泊施設
1712,仙岩峠の茶屋,014-1201,仙北市,田沢湖生保内字近藤沢13-1,,0187-43-1803,2.飲食店（酒類提供あり）,
1713,洋菓子＆喫茶プチフレーズ,014-0371,仙北市,角館町大風呂2,,0187-54-1997,3.小売（お土産等）,
1714,魚民角館店,014-0366,仙北市,角館町下菅沢219-1　,1階,0187-54-2488,2.飲食店（酒類提供あり）,
1715,佐藤養助　角館店,014-0325,仙北市,角館町東勝楽丁22-2,,0187-52-1720,3.小売（お土産等）,
1716,角館こだわり蔵,014-0323,仙北市,角館町横町42-1,,0187-52-1246,3.小売（お土産等）,
1717,駒ケ岳グランドホテル,014-1201,仙北市,田沢湖生保内駒ケ岳2-30,,0187-46-2211,21.その他,宿泊施設
1718,唐土庵　駅前店,014-0369,仙北市,角館町上菅沢402-3,,0187-54-1158,3.小売（お土産等）,
1719,唐土庵工場店,014-0347,仙北市,角館町小勝田小勝田下村２１,,0187-54-3226,3.小売（お土産等）,
1720,しまむら　角館店,014-0366,仙北市,角館町下菅沢113-1,,0187-52-1085,21.その他,衣料店
1721,角館しち兵ゑ,014-0323,仙北市,角館町横町15,,0187-42-8518,2.飲食店（酒類提供あり）,
1722,和風レストランまるまつ角館店,014-0366,仙北市,角館町下菅沢174-1,,0187-54-1777,2.飲食店（酒類提供あり）,
1723,天然温泉　田沢湖レイクリゾート,014-1201,仙北市,田沢湖生保内字下高野82-117,,0187-46-2016,21.その他,宿泊施設
1724,農家の宿　星雪館,014-0602,仙北市,西木町桧木内字大台野開404,,0187-48-2914,21.その他,宿泊施設
1725,斎藤商店,014-0511,仙北市,西木町西明寺字潟尻90,,0187-47-2381,3.小売（お土産等）,
1726,田沢湖共栄パレス,014-1204,仙北市,田沢湖田沢田沢字春山148,,0187-43-0701,2.飲食店（酒類提供あり）,
1727,割烹　桃屋,014-1201,仙北市,田沢湖生保内字水尻79,,0187-43-0031,2.飲食店（酒類提供あり）,
1728,古泉洞,014-0325,仙北市,角館町東勝楽丁9,,0187-53-2902,2.飲食店（酒類提供あり）,
1729,おみやげと地酒処　君ちゃん,014-0359,仙北市,角館町北野124-2,,0187-49-7166,3.小売（お土産等）,
1730,デイリーヤマザキ田沢湖高原店,014-1201,仙北市,田沢湖生保内字造道23-12,,0187-43-0078,4.コンビニ・スーパー,
1731,デイリーヤマザキ神代店,014-1114,仙北市,田沢湖神代字堂ノ西149-1,,0187-44-3377,4.コンビニ・スーパー,
1732,NewDays 角館,014-0300,仙北市,角館町中菅沢14,,0187-53-2052,4.コンビニ・スーパー,
1733,NewDays KIOSK 田沢湖駅店,014-1201,仙北市,田沢湖生保内字男坂,,050-3644-6086,4.コンビニ・スーパー,
1734,羽後交通角館営業所,014-0354,仙北市,角館町水ノ目沢48-9,,0187-54-2202,6.バス,
1735,羽後交通田沢湖営業所,014-1201,仙北市,田沢湖生保内字水尻38-1,,0187-43-1511,6.バス,
1736,林泉堂角館店,014-0369,仙北市,角館町上菅沢442-1,,0187-55-5055,1.飲食店（酒類提供なし）,
1737,サンデー角館店,014-0366,仙北市,角館町下菅沢150の1,,0187-54-1530,21.その他,ホームセンター
1738,花心亭しらはま,014-1204,仙北市,田沢湖田沢字春山145-15,,0187-43-0436,21.その他,宿泊施設
1739,湖畔浪漫の宿　かたくりの花,014-1204,仙北市,田沢湖田沢字春山197-15,,0187-43-1200,21.その他,宿泊施設
1740,軽食喫茶ピープル,014-1201,仙北市,田沢湖生保内字男坂88,,0187-43-2008,2.飲食店（酒類提供あり）,
1741,孫六温泉,014-1204,仙北市,田沢湖田沢字先達沢国有林内,,0187-46-2224,21.その他,宿泊施設
1742,ローソン　田沢湖造道店,014-1201,仙北市,田沢湖生保内町田154-4,,0187-43-3963,4.コンビニ・スーパー,
1743,ローソン　田沢湖生保内店,014-1201,仙北市,田沢湖生保内字野中154-1,,0187-43-1868,4.コンビニ・スーパー,
1744,あきた角館西宮家,014-0311,仙北市,角館町田町上丁11-1,,0187-52-2438,2.飲食店（酒類提供あり）,
1745,青荷山荘,014-1201,仙北市,田沢湖生保内字下高野73-14,,0187-46-2256,21.その他,宿泊施設
1746,ローソン　角館武家屋敷店,014-0323,仙北市,角館町横町42-1,,0187-53-3707,4.コンビニ・スーパー,
1747,ローソン　角館岩瀬店,014-0366,仙北市,角館町下菅沢220-3,,0187-55-1107,4.コンビニ・スーパー,
1748,樹の下やよしなり,014-0331,仙北市,角館町表町下丁13-1,,0187-55-4133,3.小売（お土産等）,
1749,みちのく懐かしの味　あきたプリン亭,014-0323,仙北市,角館町横町16,,0187-49-6233,3.小売（お土産等）,
1750,西木温泉ふれあいプラザクリオン,014-0515,仙北市,西木町門屋字屋敷田83-2,,0187-47-2010,21.その他,宿泊施設
1751,フォレスト倶楽部　田園,014-1201,仙北市,田沢湖生保内字下高野73-21,,0187-46-2631,21.その他,宿泊施設
1752,百穂苑,014-0333,仙北市,角館町川原町23番-1,,0187-55-5715,2.飲食店（酒類提供あり）,
1753,テックランド角館店,014-0369,仙北市,角館町上菅沢463-1,,0187-42-8211,21.その他,家電
1754,おばこライフサービス 田沢湖SS,014-1201,仙北市,田沢湖生保内字山居192,,0187-43-0412,21.その他,ガソリンスタンド
1755,おばこライフサービス　西明寺SS,014-0512,仙北市,西本町上荒井字中屋敷69-2,,0187-47-2044,21.その他,ガソリンスタンド
1756,おばこライフサービス　角館SS,014-0347,仙北市,角館町小勝田下村15,,0187-54-3150,21.その他,ガソリンスタンド
1757,株式会社　嶋田ハム　直売店,014-0016,大仙市,若竹町26-23,,0187-63-1576,4.コンビニ・スーパー,
1758,三吉農園加工所,014-1201,仙北市,田沢湖生保内字小杉沢口29-2,,080-9646-9903,3.小売（お土産等）,
1759,八柳商店,014-0317,仙北市,角館町下中町2,,0187-53-2653,3.小売（お土産等）,
1760,食彩町家館,014-0323,仙北市,角館町横町42-1,,0187-49-6106,2.飲食店（酒類提供あり）,
1761,こにとく,014-1201,仙北市,田沢湖生保内水尻53-5,,090-5180-5219,2.飲食店（酒類提供あり）,
1762,そば五郎,014-1201,仙北市,田沢湖生保内字水尻59-40,,0187-43-3511,2.飲食店（酒類提供あり）,
1763,ひなたエキス,014-1201,仙北市,田沢湖生保内字下高野61-33,,080-1695-4110,3.小売（お土産等）,
1764,さくら工房,014-0346,仙北市,角館町川原町13-10,,0187-55-5241,3.小売（お土産等）,
1765,稲庭古来堂青柳家店,014-0331,仙北市,角館町表町下丁3,青柳家内,0187-52-8015,2.飲食店（酒類提供あり）,
1766,満留善,014-0318,仙北市,角館町中町5,,0187-54-2065,2.飲食店（酒類提供あり）,
1767,藤八堂,014-0323,仙北市,角館町横町20,,0187-53-2610,2.飲食店（酒類提供あり）,
1768,駒ヶ岳温泉,014-1201,仙北市,田沢湖生保内字下高野80-68,,0187-46-2688,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1769,八幡平パークサービスセンター,014-1204,仙北市,田沢湖田沢字大深沢国有林,,090-2270-8205,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1770,田沢湖ローズパークホテル,010-1419,仙北市,西木町西明寺字潟尻78,,0187-47-2211,21.その他,
1771,ローソン　西木西明寺店,014-0512,仙北市,西木町上荒井字新屋3-1,,0187-47-2174,4.コンビニ・スーパー,
1772,欧風食堂　Ｋａｅｄｅ,014-1201,仙北市,田沢湖生保内字造道29-12,,0187-43-3768,2.飲食店（酒類提供あり）,
1773,ＴｉＧ,019-1404,仙北郡美郷町,六郷馬町102,,050-5883-7495,3.小売（お土産等）,
1774,Genpatey,019-1404,仙北郡美郷町,六郷字馬町83,,0187-73-5478,2.飲食店（酒類提供あり）,
1775,アックスフーズマート　六郷店,019-1404,仙北郡美郷町,六郷字安楽寺298-1,,0187-86-7770,4.コンビニ・スーパー,
1776,ツルハドラッグ　美郷天神堂店,019-1232,仙北郡美郷町,天神堂字赤城167-1,,0187-73-7872,21.その他,薬局
1777,ツルハドラッグ　美郷町店,019-1541,仙北郡美郷町,土崎字上宿240,,0187-87-6268,21.その他,薬局
1778,湯とぴあ雁の里温泉,019-1234,仙北郡美郷町,飯詰字東西法寺181-2,,0187-83-3210,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
1779,ニテコ名水庵,019-1404,仙北郡美郷町,六郷六郷字大町59,,0187-84-0062,2.飲食店（酒類提供あり）,
1780,美郷屋,019-1404,仙北郡美郷町,六郷六郷字馬町83,,0187-84-0110,3.小売（お土産等）,
1781,美郷町宿泊交流館ワクアス,019-1234,仙北郡美郷町,飯詰字下鶴田22-1,,0187-88-8870,21.その他,宿泊施設
1782,千畑温泉サン・アール　,019-1522,仙北郡美郷町,金沢東根字仏沢210-1,,0187-84-3983,21.その他,宿泊施設
1783,薬王堂秋田六郷店,019-1402,仙北郡美郷町,野中字中朋子106,,0187-84-2010,21.その他,薬局
1784,道の駅美郷,019-1302,仙北郡美郷町,金沢字下館124,,0182-37-3000,3.小売（お土産等）,
1785,六郷温泉あったか山,019-1403,仙北郡美郷町,六郷東根下馬転120,,0187-84-2641,3.小売（お土産等）,
1786,イオンスーパーセンター美郷店,019-1231,仙北市美郷町,南町字南高野34,,0187-87-8860,4.コンビニ・スーパー,
1787,ローソン　美郷六郷琴平東店,019-1404,仙北郡美郷町,六郷字琴平東178-5,,0187-84-1015,4.コンビニ・スーパー,
1788,南部家敷　六郷店,019-1404,仙北郡美郷町,六郷字道尻196-1,,0187-84-3339,2.飲食店（酒類提供あり）,
1789,千屋タクシー,019-1541,仙北郡美郷町,土崎字上野乙1-162,,0187-85-4141,7.ハイヤー・タクシー,
1790,おばこライフサービス　仙南SS,019-1233,仙北郡美郷町,境田字下八百刈270-1,,0187-82-1077,21.その他,ガソリンスタンド
1791,おばこライフサービス　千畑SS,019-1542,仙北郡美郷町,小荒川字街道筋200-1,,0187-87-6005,21.その他,ガソリンスタンド
