608,ニッポンレンタカー 羽後本荘駅前営業所,015-0075,由利本荘市,花畑町4-21,,0184-24-0919,12.レンタカー,
609,ニッポンレンタカー 角館駅前営業所,014-0368,仙北市,角館町中菅沢94?85,,0187-55-1101,12.レンタカー,
610,ニッポンレンタカー 大曲営業所,014-0027,大仙市,大曲通町337?3,,0187-63-8180,12.レンタカー,
611,ニッポンレンタカー 横手駅?口営業所,013-0049,横手市,?2-1?20,,0182-36-0919,12.レンタカー,
612,ニッポンレンタカー 秋田山王十字路営業所,010-0923,秋田市,旭北錦町1-2,,018-863-0919,12.レンタカー,
613,ニッポンレンタカー 秋田空港前営業所,010-1211,秋田市,雄和椿川字山籠40-1,,018-886-3788,12.レンタカー,
614,ニッポンレンタカー 秋田駅東口営業所,010-0851,秋田市,手形字?谷地403?1,,018-832-5798,12.レンタカー,
615,駅レンタカー 田沢湖営業所,014-1201,仙北市,田沢湖生保内字男坂9-2,,0187-43-1081,12.レンタカー,
616,駅レンタカー 秋田営業所,010-0001,秋田市,中通7-1-2,トピコ・アルス第1駐車場1階,018-833-9308,12.レンタカー,
617,駅レンタカー 大曲営業所,014-0027,大仙市,大曲通町6-1,,0187-66-2935,12.レンタカー,
618,駅レンタカー  角館営業所,014-0368,仙北市,角館町中菅沢94-85,,0187-52-2188,12.レンタカー,
619,駅レンタカー  羽後本荘営業所,015-0075,由利本荘市,花畑町4-21,,0184-74-8125,12.レンタカー,
620,駅レンタカー  横手営業所,013-0042,横手市,前郷字上三枚橋12-1-3,,0182-23-7833,12.レンタカー,
621,駅レンタカー  大館営業所,017-0044,大館市,御成町1-13-10,,0186-57-8255,12.レンタカー,
622,ポルミート直売所,014-0113,大仙市,堀見内字穴沢3-1,,0187-73-6029,3.小売(お土産等),
623,?芸くにまつ,018-0112,にかほ市,象潟町家の後64,,0184-43-2488,3.小売(お土産等),
624,湯沢市観光物産協会 皆瀬観光物産館,012-0183,湯沢市,皆瀬字新処97-2,,0183-47-5046,3.小売(お土産等),
625,湯沢市観光物産協会 古館庵,012-0107,湯沢市,稲庭町字早坂98-2,,0183-43-2649,3.小売(お土産等),
626,湯沢市観光物産協会 まるごと湯沢特産市場,012-0827,湯沢市,表町2-1-15,,0183-73-0415,3.小売(お土産等),
627,八森いさりび温泉ハタハタ館,018-2617,山本郡八峰町,八森御所の台51,,0185-77-2770,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
628,すし屋の中川,018-0402,にかほ市,平沢字前谷地116-51,,0184-37-3844,2.飲食店(酒類提供あり),
629,お弁当販売処花善,017-0044,大館市,御成町1-10-2,,0186-43-0870,3.小売(お土産等),
630,お食事処花善,017-0044,大館市,御成町1-10-2,,0186-43-0870,2.飲食店(酒類提供あり),
631,日の丸醸造株式会社,019-0701,横手市,増田町増田字七日町114-2,,0182-45-2005,3.小売(お土産等),
632,光栄堂,018-5201,鹿角市,花輪字下花輪27,,0186-23-2272,3.小売(お土産等),
633,ホテル鹿角,018-5421,鹿角市,十和田大湯字中谷地5-1,,0186-30-4111,21.その他,宿泊施設
634,焼肉ホルモン298食堂,014-0027,大仙市,大曲通町2-30,,0187-66-1729,2.飲食店(酒類提供あり),
635,温泉旅館ゆもと,010-0687,男鹿市,北浦湯本字福ノ沢36,,0185-33-3151,21.その他,宿泊施設
636,ふれあいセンターかまくら館売店,013-0023,横手市,中央町8-12,,0182-33-7111,3.小売(お土産等),
637,北野水産大曲駅前店,014-0027,大仙市,大曲通町3-6,,0187-63-8855,1.飲食店(酒類提供なし),
638,そば正五郎,019-0529,横手市,十文字町海道下21-4,,090-6682-2244,2.飲食店(酒類提供あり),
639,村さ来十文字店,019-0509,横手市,十文字町梨木羽場14-26,,0182-42-0099,2.飲食店(酒類提供あり),
640,こうさか,013-0038,横手市,前郷一番町13-38,,0182-32-6357,3.小売(お土産等),
641,秋田県立田沢湖スポーツセンター,014-1201,仙北市,田沢湖生保内字下高野73-75,,0187-46-2001,21.その他,宿泊施設
642,オリックスレンタカー秋田空港店,010-1211,秋田市,雄和椿川字山籠40-1,,018-881-0543,12.レンタカー,
643,海鮮と炭火焼の店麓ROKU,018-0115,にかほ市,象潟町後田116-5,,0184-32-5555,2.飲食店(酒類提供あり),
644,お食事処あんべ,018-5141,鹿角市,八幡平字小山66-2,,0186-32-2317,2.飲食店(酒類提供あり),
645,にかほ市温泉保養センターはまなす,018-0311,にかほ市,金浦字中谷地20-1,,0184-38-2246,21.その他,宿泊施設
646,男鹿リゾート HOTELきららか,010-0671,男鹿市,?賀加茂?砂字中台1-466,,0185-47-7220,21.その他,宿泊施設
647,アキモト酒店,019-1701,大仙市,神宮寺字神宮寺162,,0187-72-4047,3.小売(お土産等),
648,居酒屋なるほど,014-0321,仙北市,角館町?勝楽町14,,0187-54-1577,2.飲食店(酒類提供あり),
649,和バル すしえど,010-0003,秋田市,東通1-3-23,,018-827-5988,2.飲食店(酒類提供あり),
650,回転寿司すし江? 茨島店,010-0065,秋田市,茨島6-1-32,,018-874-9031,2.飲食店(酒類提供あり),
651,回転寿司すし江? 山手台本店,010-1429,秋田市,山手台1-1-7,,018-893-4468,2.飲食店(酒類提供あり),
652,後藤福進堂,014-0325,仙北市,角館町東勝楽丁12-2,,0187-53-2310,3.小売(お土産等),
653,かんぶつの吉田,012-0826,湯沢市,柳町2-1-5,,0183-73-3528,3.小売(お土産等),
654,料亭 石川,012-0827,湯沢市,表町4-1-7,,0183-73-6143,2.飲食店(酒類提供あり),
655,リバーサイドホテル大曲 レストランリヴィエール,014-0024,大仙市,大曲中通町2-20,,0187-62-0115,2.飲食店(酒類提供あり),
656,ツルハドラッグ 本荘中央店,015-0834,由利本荘市,岩渕下18,,0184-28-4268,21.その他,薬局
657,オリックスレンタカー秋田新国道店,010-0816,秋田市,泉字登木207-1,,018-883-1335,12.レンタカー,
658,オリックスレンタカー秋田駅?口店,010-0001,秋田市,中通6-12-40,,018-837-3900,12.レンタカー,
659,ツルハドラッグ(調専)大潟村店,010-0443,南秋田郡大潟村,中央1-5,,0185-45-3172,21.その他,薬局
660,ツルハドラッグ 秋田南通店,010-0013,秋田市,南通築地3-5,,018-853-7179,21.その他,薬局
661,ツルハドラッグ 東通店,010-0003,秋田市,東通8-1-31,,018-887-3922,21.その他,薬局
662,ツルハドラッグ 八?店,018-2407,山本郡三種町,浜田字東浜田334,,0185-72-1268,21.その他,薬局
663,ツルハドラッグ 秋田楢山店,010-0029,秋田市,楢山川口境4-21,,018-884-3268,21.その他,薬局
664,ツルハドラッグ 大曲福田店,014-0114,大仙市,福田町22-23-6,,0187-86-3268,21.その他,薬局
665,ツルハドラッグ 茨島店,010-0065,秋田市,茨島4-3-21,,018-896-5157,21.その他,薬局
666,ツルハドラッグ 秋田広面北店,010-0041,秋田市,広面字蓮沼94-1,,018-884-1882,21.その他,薬局
667,ツルハドラッグ 大曲川目店,014-0066,大仙市,川目字町東7,,0187-66-4268,21.その他,薬局
668,ツツルハドラッグ 若竹町店,014-0016,大仙市,若竹町33-11,,0187-86-3710,21.その他,薬局
669,ツルハドラッグ 中仙店,014-0207,大仙市,?野字柳田46,,0187-56-7268,21.その他,薬局
670,ツルハドラッグ 大内店,018-0731,由利本荘市,大内三川字三川34-2,,0184-62-0268,21.その他,薬局
671,ツルハドラッグ 鹿角中央店,018-5201,鹿角市,花輪字下中島82-1,,0186-30-1268,21.その他,薬局
672,ツルハドラッグ 大館北店,017-0012,大館市,釈迦内字稲荷山下258,,0186-48-5268,21.その他,薬局
673,ツルハドラッグ 男鹿船川店,010-0502,男鹿市,船川港比詰字大巻144-1,,0185-22-1268,21.その他,薬局
674,ツルハドラッグ 八橋店,010-0965,秋田市,八橋新川向1-25,,018-883-0232,21.その他,薬局
675,ツルハドラッグ 米内沢店,018-4301,北秋田市,米内沢字柳原4-4,,0186-72-9268,21.その他,薬局
676,ツルハドラッグ 鷹巣店,018-3302,北秋田市,栄中綱2,,0186-60-0028,21.その他,薬局
677,ツルハドラッグ 大舘南店,017-0837,大館市,餌釣字前田1,,0186-49-8900,21.その他,薬局
678,ツルハドラッグ 秋田川尻店,010-0943,秋田市,川尻御休町5-27,,018-883-3268,21.その他,薬局
679,ツルハドラッグ 潟上昭和店,018-1402,潟上市,昭和乱橋字下畑48-2,,018-855-5268,21.その他,薬局
680,ツルハドラッグ 五城目店,018-1725,南秋田郡五城目町,?磯ノ目1-2-3,,018-879-8880,21.その他,薬局
681,ツルハドラッグ 毛馬内店,018-5334,鹿角市,十和田毛馬内字南陣場30-1,,0186-35-5775,21.その他,薬局
682,ツルハドラッグ 秋田土崎店,011-0941,秋田市,土崎港北7-2-24,,018-880-3268,21.その他,薬局
683,ツルハドラッグ 男鹿払?店,010-0431,男鹿市,払?字大堤127,,0185-22-7337,21.その他,薬局
684,ツルハドラッグ 合川店,018-4282,北秋田市,李岱字豊田36-1,,0186-78-9268,21.その他,薬局
685,ツルハドラッグ 美郷天神堂店,019-1232,仙北郡美郷町,天神堂字赤城167-1,,0187-73-7872,21.その他,薬局
686,ツルハドラッグ 田沢湖店,014-1201,仙北市,田沢湖生保内字街道上71-1,,0187-43-9268,21.その他,薬局
687,ツルハドラッグ 鹿角店,018-5201,鹿角市,花輪字下タ町202,,0186-31-0010,21.その他,薬局
688,ツルハドラッグ 男鹿店,010-0342,男鹿市,脇本脇本字石館16,,0185-22-2057,21.その他,薬局
689,ツルハドラッグ 大館中道店,017-0045,大館市,中道2-2-54,,0186-59-5268,21.その他,薬局
690,ツルハドラッグ 二ツ井店,018-3151,能代市,二ツ井町三千苅93-2,,0185-71-0545,21.その他,薬局
691,ツルハドラッグ 向能代店,016-0014,能代市,落合字大野78,,0185-89-6755,21.その他,薬局
692,ツルハドラッグ 琴丘店,018-2104,山本郡三種町,鹿渡字?小瀬川147,,0185-72-2268,21.その他,薬局
693,ツルハドラッグ 秋田将軍野店,011-0931,秋田市,将軍野東3-6-41,,018-880-5488,21.その他,薬局
694,ツルハドラッグ フレスポ本荘店,015-0011,由利本荘市,石脇字田頭195-2,,0184-28-4168,21.その他,薬局
695,ツルハドラッグ 大曲店,014-0044,大仙市,?蒔字錨27,,0187-86-0314,21.その他,薬局
696,ツルハドラッグ 秋田泉南店,010-0918,秋田市,泉南3-23-24,,018-896-1268,21.その他,薬局
697,ツルハドラッグ 美郷町店,019-1541,仙北郡美郷町,土崎字上宿240,,0187-87-6268,21.その他,薬局
698,ツルハドラッグ 天王?沼店,010-0101,潟上市,天王?沼9-2,,018-870-4567,21.その他,薬局
699,ツルハドラッグ 本荘店,015-0843,由利本荘市,東梵天144,,0184-27-2566,21.その他,薬局
700,ツルハドラッグ 象潟店,018-0111,にかほ市,象潟町武道島149-2,,0184-32-5268,21.その他,薬局
701,ツルハドラッグ 仁賀保店,018-0402,にかほ市,平沢字上町田19-9,,0184-32-3331,21.その他,薬局
702,ツルハドラッグ 大館東店,017-0041,大館市,大田面31,,0186-45-0268,21.その他,薬局
703,ツルハドラッグ 刈和野店,019-2112,大仙市,刈和野字沼田12-1,,0187-87-3588,21.その他,薬局
704,ツルハドラッグ 外旭川店,010-0802,秋田市,外旭川字小谷地33-1,,018-869-7051,21.その他,薬局
705,ツルハドラッグ 能代店,016-0188,能代市,寺向73,,0185-89-2487,21.その他,薬局
706,ツルハドラッグ 大舘店,017-0872,大館市,片山町3-1-1,,0186-44-5116,21.その他,薬局
707,ツルハドラッグ 秋田仁井田店,010-1427,秋田市,仁井田新田2-5-16,,018-829-7268,21.その他,薬局
708,ツルハドラッグ 秋田御所野店,010-1414,秋田市,御所野元町1-1-17,,018-892-6180,21.その他,薬局
709,ツルハドラッグ 本荘南店,015-0855,由利本荘市,二番堰54,,0184-28-0333,21.その他,薬局
710,ツルハドラッグ 羽後店,012-1100,雄勝郡羽後町,字南?馬音内213,,0183-78-4268,21.その他,薬局
711,ツルハドラッグ 横手?店,013-0061,横手市,横手町字三ノ口4-1,,0182-35-4268,21.その他,薬局
712,ツルハドラッグ 雄物川店,013-0208,横手市,雄物川町沼館字沼館456-1,,0182-56-2268,21.その他,薬局
713,ツルハドラッグ 湯沢大町店,012-0841,湯沢市,大町2-1-10,,0183-79-5268,21.その他,薬局
714,ツルハドラッグ 横手大森店,013-0514,横手市,大森町大中島355,,0182-26-8268,21.その他,薬局
715,ツルハドラッグ 雄勝こまち店,019-0204,湯沢市,横堀字中屋敷7,,0183-78-6268,21.その他,薬局
716,ツルハドラッグ 横手平和町,013-0035,横手市,平和町15-31,,0182-35-2268,21.その他,薬局
717,ツルハドラッグ 横手寿町,013-0025,横手市,寿町1-35,,0182-35-6268,21.その他,薬局
718,ツルハドラッグ 十文字店,019-0506,横手市,十文字町佐賀会上沖田277,,0182-47-7003,21.その他,薬局
719,ツルハドラッグ フレスポ横手店,013-0043,横手市,安田字向田,,0182-35-6632,21.その他,薬局
720,ツルハドラッグ 湯沢店,012-0036,湯沢市,両神28-1,,0183-78-0466,21.その他,薬局
Unnamed: 0,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
721,ツルハドラッグ 秋田広面店,010-0041,秋田市,広面字樋ノ沖93-1,,018-884-3137,21.その他,薬局
722,オリックスレンタカー角館駅前店,014-0369,仙北市,角館町上菅沢402-9,,0187-52-3811,12.レンタカー,
723,ツルハドラッグ 秋田寺内店,011-0903,秋田市,寺内油田1-4-10,,018-880-6268,21.その他,薬局
724,ツルハドラッグ 天王?店,010-0201,潟上市,天王字上江川47-290,,018-872-2268,21.その他,薬局
725,ツルハドラッグ 能代?崎店,016-0873,能代市,?崎41,,0185-89-5170,21.その他,薬局
726,ツルハドラッグ 矢島店,015-0417,由利本荘市,矢島町元町字谷地148,,0184-29-5022,21.その他,薬局
727,ツルハドラッグ 大曲田町店,014-0046,大仙市,大曲田町1-27,,0187-66-0555,21.その他,薬局
728,ツルハドラッグ 秋田中通店,010-0001,秋田市,中通2-1-46,,018-889-2155,21.その他,薬局
729,ツルハドラッグ 角館店,014-0369,仙北市,角館町上菅沢449-1,,0187-49-8390,21.その他,薬局
730,スパ&フィットネスクラブ クオード,013-0043,横手市,安田字堰端52-1,,0182-35-1029,15.フィットネス(スポーツジム等),
731,リフレッシュ・スパ クォード,013-0043,横手市,安田字堰端52-1,,0182-35-1126,21.その他,公衆浴場
732,ぐぅぐぅ亭,013-0043,横手市,安田字堰端52-1,,0182-35-0141,2.飲食店(酒類提供あり),
733,味治,010-0921,秋田市,大町5-2-7,,018-864-5972,2.飲食店(酒類提供あり),
734,パブロカザルス秋田,010-0001,秋田市,中通7-1-2,,018-835-6605,2.飲食店(酒類提供あり),
735,中華料理 東天閣,010-0922,秋田市,旭北栄町5-23,,018-823-5806,2.飲食店(酒類提供あり),
736,WASABI,017-0842,大館市,馬喰町11,,0186-49-1839,2.飲食店(酒類提供あり),
737,?桜温泉 湯楽里,015-0211,由利本荘市,東由利老方字畑田28,,0184-69-2611,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
738,ホテル茅茹荘,018-5201,鹿角市,花輪字下中島112,,0186-23-3126,21.その他,宿泊施設
739,湯らくの宿のしろ,016-0014,能代市,落合字?谷地1-11,,0185-54-2121,21.その他,宿泊施設
740,大山堂,014-0332,仙北市,角館町歩行町24-8,,0187-55-1138,3.小売(お土産等),
741,いしばし?芸,014-0331,仙北市,角館町表町下丁7,,0187-53-3853,3.小売(お土産等),
742,ホテル湖心亭,014-1204,仙北市,田沢湖田沢字春山135,,0187-43-0721,21.その他,宿泊施設
743,オリックスレンタカー 能代店,016-0883,能代市,五雲岱16-2,,0185-89-1300,12.レンタカー,
744,薬王堂 大曲四谷店,014-0103,大仙市,高関上郷字不動堂167-1,,0187-63-7077,21.その他,薬局
745,薬王堂 大仙高梨店,014-0805,大仙市,高梨金堀267-1,,0187-73-7866,21.その他,薬局
746,薬王堂 秋田角館店,014-0347,仙北市,角館町小勝田中川原132,,0187-42-8521,21.その他,薬局
747,薬王堂 大仙太田店,019-1601,大仙市,太田町横沢字相野420,,0187-73-5971,21.その他,薬局
748,秋田まるごと市場,010-0061,秋田市,卸町2-2-7,,018-866-8001,3.小売(お土産等),
749,ホテルグランド天空,014-1201,仙北市,田沢湖生保内字駒ケ岳2-16,,0187-46-2004,21.その他,宿泊施設
750,オリックスレンタカー 大曲駅前店,014-0022,大仙市,大花町15-37,,0187-63-3994,12.レンタカー,
751,唐土庵 さくら並木店,014-0359,仙北市,角館町北野124-2,,0187-54-1157,3.小売(お土産等),
752,唐土庵 武家屋敷店,014-0331,仙北市,角館町表町下丁17,,0187-52-8170,3.小売(お土産等),
753,は?とぽ?と大内 ぽぽろっこ 売店,018-0711,由利本荘市,岩谷町字?越36,,0184-62-1126,3.小売(お土産等),
754,は?とぽ?と大内 ぽぽろっこ レストラン きぬさや,018-0711,由利本荘市,岩谷町字?越36,,0184-62-1126,2.飲食店(酒類提供あり),
755,十和田湖レークビューホテル,018-5511,鹿角郡小坂町,十和田湖休平65-1,,0176-75-1500,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
756,三国商事 横手インター給油所,013-0062,横手市,駅南2-90,,0182-33-0311,21.その他,石油製品販売小売業
757,銀座セキネ秋田店,010-0001,秋田市,中通2-1-22,,018-827-5950,21.その他,アクセサリー
758,ブランカ,014-0024,大仙市,大曲中通町3-16,,0187-62-0558,2.飲食店(酒類提供あり),
759,最八商店,011-0946,秋田市,土崎港中央1-14-17,,018-845-0560,21.その他,酒類販売店
760,カニの店第八男鹿丸,011-0945,秋田市,土崎港?1-3-27,,018-846-7311,3.小売(お土産等),
761,旭川かもしか給油所,010-0834,秋田市,旭川南町8-34,,018-833-2475,21.その他,ガソリンスタンド
762,アート&クラフト香月,014-0325,仙北市,角館町東勝楽丁2-2,,0187-54-1565,3.小売(お土産等),
763,道の駅岩城 レストランはまなす,018-1301,由利本荘市,岩城内道川字新鶴潟192-43,,0184-73-3789,2.飲食店(酒類提供あり),
764,道の駅岩城 交流ターミナル売店,018-1301,由利本荘市,岩城内道川字新鶴潟192-43,,0184-73-3789,3.小売(お土産等),
765,道の駅五城目,018-1856,南秋田郡五城目町,富津内下山内76-1,,018-879-8411,3.小売(お土産等),
766,道の駅秋田港,011-0945,秋田市,土崎港?1-9-1,,018-857-3381,3.小売(お土産等),
767,ホルモン幸楽大館店,017-0041,大館市,大田面115-1,,0186-43-3811,2.飲食店(酒類提供あり),
768,焼肉冷麺幸楽,018-5201,鹿角市,花輪堰向13,,0186-22-1611,2.飲食店(酒類提供あり),
769,ホルモン幸楽花輪本店,018-5201,鹿角市,花輪堰向5,,0186-23-3736,2.飲食店(酒類提供あり),
770,よねや角館店,014-0347,仙北市,角館町小勝田中川原111-1,,0187-55-2141,4.コンビニ・スーパー,
771,よねや富士見町店,014-0011,大仙市,富士見町10-60,,0187-62-8770,4.コンビニ・スーパー,
772,よねや大曲中央店,014-0017,大仙市,佐野町8-16,,0187-73-8305,4.コンビニ・スーパー,
773,よねやとまき店,014-0044,大仙市,?蒔字錨28,,0187-86-0660,4.コンビニ・スーパー,
774,よねや稲川店,012-0105,湯沢市,川連町大舘疣橋72-3,,0183-42-4715,4.コンビニ・スーパー,
775,よねや千石大橋店,012-0043,湯沢市,万石242,,0183-78-0505,4.コンビニ・スーパー,
776,よねや浅舞店,013-0105,横手市,平鹿町浅舞字浅舞47,,0182-24-1460,4.コンビニ・スーパー,
777,よねや双葉店,013-0005,横手市,幸町3-1,,0182-33-3192,4.コンビニ・スーパー,
778,よねやハッピーモール店,013-0060,横手市,五ノ口36-1,,0182-35-2200,4.コンビニ・スーパー,
779,よねや南店,013-0035,横手市,平和町7-1,,0182-33-6422,4.コンビニ・スーパー,
780,てもみん秋田アルス店,010-0001,秋田市,中通7-2-1,おしゃれかんアルス1階,018-884-1221,21.その他,
781,お宿ちとせ,018-5201,鹿角市,花輪字下中島109,,0186-23-4230,21.その他,宿泊施設
782,道の駅象潟「ねむの丘」,018-0121,にかほ市,象潟町字大塩越73-1,,0184-32-5588,3.小売(お土産等),
783,男鹿水産,010-0511,男鹿市,船川港船川字芦沢205,,0185-23-3710,3.小売(お土産等),
784,FRIES HOUSE SANZAEMON,018-0121,にかほ市,象潟町大塩越36-1,,0184-74-3118,2.飲食店(酒類提供あり),
785,ラビアン秋田店,010-0001,秋田市,中通1-3-5,,018-836-1907,21.その他,靴屋
786,海鮮屋,010-0511,男鹿市,船川字海岸通り2-9-10,,0185-22-0125,2.飲食店(酒類提供あり),
787,杉山壽山堂トピコ店,010-0001,秋田市,中通7-1-2,,018-889-3578,3.小売(お土産等),
788,杉山壽山堂ポンドール店,010-0941,秋田市,川尻町字大川反170-82,,018-823-5185,3.小売(お土産等),
789,紳士服のコナカ秋田新国道店,010-0816,秋田市,泉字登木202-1,,018-866-0313,21.その他,小売(衣料品等)
790,ポルダー潟の湯,010-0441,南秋田郡大潟村,字北1-3,,0185-45-2641,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
791,麺家?四郎,016-0179,能代市,朝内字朝内堤下74-4,,0185-52-4027,2.飲食店(酒類提供あり),
792,鶴の湯別館山の宿,014-1204,仙北市,田沢湖田沢字先達沢湯ノ岱1-1,,0187-46-2100,21.その他,宿泊施設
793,コメダ珈琲横手ハッピータウン店,013-0060,横手市,条里3-2-74,,0182-23-7850,1.飲食店(酒類提供なし),
794,ネクサス由利本荘店,015-0013,由利本荘市,石脇字田尻野17-24,,0184-25-8050,21.その他,スポーツ用品
795,秋田駅前酒房ぐらん炭,010-0001,秋田市,中通4-13-6,,018-807-4388,2.飲食店(酒類提供あり),
796,Biumshop,014-0025,大仙市,大曲大町7-19,,0187-86-0881,3.小売(お土産等),
797,大仙市観光情報センターグランポール,014-0027,大仙市,大曲通町6-5,,0187-86-0888,21.その他,観光案内所
798,駅前食堂,014-1201,仙北市,田沢湖生保内字男坂125,,0187-43-0483,2.飲食店(酒類提供あり),
799,かおる堂由利本荘店,015-0801,由利本荘市,美倉町41,,0184-23-3731,3.小売(お土産等),
800,一乃穂,010-0001,秋田市,中通2-4-15,,018-837-3800,3.小売(お土産等),
801,かおる堂イオン土崎港店,011-0943,秋田市,土崎港南2-3-41,,018-847-0622,3.小売(お土産等),
802,かおる堂本社工場,010-0941,秋田市,川尻町字大川反170-82,,018-864-4500,3.小売(お土産等),
803,かおる堂トピコ店,010-0001,秋田市,中通7-1-2,,018-832-1782,3.小売(お土産等),
804,かおる堂イオン秋田中央店,010-0029,秋田市,楢山川口境5-11,,018-836-5095,3.小売(お土産等),
805,かおる堂大町店,010-0921,秋田市,大町4-3-11,,018-823-8377,3.小売(お土産等),
806,セブンイレブン横手平和町店,013-0035,横手市,平和町9-3,,0182-36-9270,4.コンビニ・スーパー,
807,アルパこまくさ,014-1201,仙北市,田沢湖生保内字駒ヶ岳2-16,,0187-46-2101,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
808,田沢湖ハーブガーデンハートハーブ,014-1204,仙北市,田沢湖字田沢字潟前78,,0187-43-2424,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
809,そば屋八兵衛,010-0201,潟上市,天王字江川上谷地109-2,天王グリーンランド内スカイタワ,10階18-878-7714,2.飲食店(酒類提供あり),
810,ダイニングぶなの森,018-0121,にかほ市,象潟町大塩越36-1,にかほっと,090-7793-7397,1.飲食店(酒類提供なし),
811,黑湯温泉,014-1201,仙北市,田沢湖生保内字黑湯沢2-1,,0187-46-2214,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
812,湖畔の杜レストランORAE,014-1204,仙北市,田沢湖田沢字春山37-5,,0187-58-0608,2.飲食店(酒類提供あり),
813,かっぱ亭,010-0961,秋田市,イサノ2-16-29,,018-863-7811,2.飲食店(酒類提供あり),
814,ファミリーレストラン123,018-0107,にかほ市,象潟町荒屋下21,,0184-43-4900,2.飲食店(酒類提供あり),
815,オカモトセルフ湯沢,012-0037,湯沢市,沖鶴258-1,,0183-79-5333,21.その他,ガソリンスタンド
816,焼き肉レストラン大昌園,010-0001,秋田市,中通5-3-22,,018-834-4810,2.飲食店(酒類提供あり),
817,菓子司つじや中通本店,014-0024,大仙市,大曲中通町1?20,,0187-62-0494,3.小売(お土産等),
818,秋田銘酒郷土みやげ大阪屋,014-0027,大仙市,大曲通町3-8,,0187-62-4010,3.小売(お土産等),
819,ロッジアイリス,014-1201,仙北市,田沢湖生保内字駒ヶ岳2-139,,0187-58-1101,21.その他,宿泊施設
820,キャメルマート秋田八幡平,018-5141,鹿角市,八幡平字切留平21-6,,0186-31-2236,4.コンビニ・スーパー,
821,YA-YAStazioneB,010-0001,秋田市,中通7丁目1-2,トピコ3階レストランフロア,018-893-6788,2.飲食店(酒類提供あり),
822,OHASHIBistoro88バル,010-0001,秋田市,中通1丁目4-3,エリアなかいち商業施設内,018-838-7588,2.飲食店(酒類提供あり),
823,カフェGRISSINI,010-0001,秋田市,中通1丁目4-3,エリアなかいち商業施設内,018-853-1199,2.飲食店(酒類提供あり),
824,有限会社?芸さいとう,015-0072,由利本荘市,裏尾崎町1-21,,0184-23-0075,3.小売(お土産等),
825,南蛮屋あおい外旭川店,010-0802,秋田市,外旭川字小谷地45,,018-868-2499,3.小売(お土産等),
826,南蛮屋あおい茨島店,010-0065,秋田市,茨島6丁目1-27,,018-866-5747,3.小売(お土産等),
827,南蛮屋あおい広面店,010-0041,秋田市,広面字宮田19-1,,018-884-1755,3.小売(お土産等),
828,器屋あおい南蛮やあおい,010-0921,秋田市,大町1-3-27,,018-862-2746,3.小売(お土産等),
829,山乃御振舞とわだこ賑山亭,018-5511,鹿角郡小坂町,十和田湖字休平35,,0176-75-2711,21.その他,宿泊施設
830,cafe+inn That Sounds Good!,014-1204,仙北市,田沢湖田沢字潟前160-58,,0187-43-0127,2.飲食店(酒類提供あり),
831,塩ホルモン炭楽,014-0027,大仙市,大曲通町3-17,,0187-62-6218,2.飲食店(酒類提供あり),
832,セブンイレブン大仙四ツ屋店,014-0102,大仙市,四ツ屋字上前村116-5,,0187-661725,4.コンビニ・スーパー,
833,トヨタレンタカー飯島店,011-0917,秋田市,飯島道東3丁目7-18,,018-880-5100,12.レンタカー,
834,トヨタレンタカー広面店,010-0041,秋田市,広面字谷地沖5-2,,018-835-0200,12.レンタカー,
835,トヨタレンタカー大館能代空港店,018-3454,北秋田市,脇神字カラムシ岱21-144,,0186-60-0100,12.レンタカー,
836,トヨタレンタカー山王店,010-0951,秋田市,山王5丁目15-29,,018-823-0100,12.レンタカー,
837,トヨタレンタカー角館店,014-0375,仙北市,角館町岩瀬下タ野84-1,,0187-55-2100,12.レンタカー,
838,トヨタレンタカー仁賀保店,018-0402,にかほ市,平沢字坪貝61-4,,0184-37-3939,12.レンタカー,
839,トヨタレンタカー田沢湖店,014-1201,仙北市,田沢湖生保内字野中43-12,,0187-43-2100,12.レンタカー,
840,トヨタレンタカー鷹巣店,018-3325,北秋田市,元町13-24,,0186-63-0100,12.レンタカー,
Unnamed: 0,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
841,トヨタレンタカー湯沢店,012-0844,湯沢市,田町2丁目13-8,,0183-72-0100,12.レンタカー,
842,トヨタレンタカー鹿角店,018-5201,鹿角市,花輪字寺ノ後38-1,,0186-22-0100,12.レンタカー,
843,トヨタレンタカー本荘店,015-0873,由利本荘市,鶴沼32,,0184-22-4000,12.レンタカー,
844,トヨタレンタカー卸町店,010-0065,秋田市,茨島2丁目12-30,,018-864-0100,12.レンタカー,
845,トヨタレンタカー大曲店,014-0013,大仙市,朝日町17-23,,0187-62-4100,12.レンタカー,
846,トヨタレンタカー新国道店,010-0916,秋田市,泉北1丁目6-16,,018-865-0100,12.レンタカー,
